id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ABCG1	423.466759375	540.3938305208	306.5396882292	0.5672523832	-0.8179373298	0.0184541143	0.0799595718
ABCG2	1114.5216323779	957.0939821539	1271.9492826019	1.3289700973	0.4103086434	0.1342280094	0.3238857092
ABCG4	10.2964981731	16.7682165546	3.8247797916	0.228096994	-2.1322806605	0.4147373965	0.6438468977
ABCG5	1416.3248204067	997.7839094398	1834.8657313735	1.8389409911	0.8788751866	1.44563547650727e-05	0.0002295006
ABCG8	2021.664972216	1549.2002157295	2494.1297287024	1.6099466701	0.6870128995	0.0005197694	0.0048352039
ABHD10	1002.895092669	869.2090371713	1136.5811481668	1.3076039244	0.3869256121	0.0678202527	0.2048249889
ABHD11	395.0164284458	490.074952361	299.9579045307	0.6120653649	-0.7082423627	0.0101424305	0.0505200302
ABHD12B	5.4912558844	8.5419801953	2.4405315736	0.2857102824	-1.8073751368	0.1600893707	0.3637080273
ABHD12	1600.6633676605	2024.7284329198	1176.5983024011	0.5811141303	-0.7831065594	0.0001253359	0.0014874417
ABHD13	513.078824696	419.0545304834	607.1031189086	1.448744912	0.5348035945	0.0339367443	0.1248065041
ABHD14A	506.2746804962	541.1038575748	471.4455034175	0.871266203	-0.1988145138	0.4425999762	0.6684557345
ABHD14B	5879.0585370435	5062.0762201433	6696.0408539438	1.3227854664	0.4035790997	0.0317710554	0.119434161
ABHD15	915.3284657318	677.0022121972	1153.6547192663	1.704063441	0.768979047	0.0004058815	0.0039602584
ABHD1	75.8199267796	70.6852967173	80.9545568418	1.1452814178	0.19570214	0.7218331832	0.8679744889
ABHD2	11399.1473724394	8692.8964393372	14105.3983055415	1.6226350336	0.6983385424	0.0007684587	0.006677213
ABHD3	943.7567783231	1031.4232389455	856.0903177007	0.8300087543	-0.2688015419	0.1883669587	0.4053206595
ABHD4	927.4282788279	1208.3797583242	646.4767993316	0.5349947273	-0.9024034218	3.04383014174644e-05	0.0004409342
ABHD5	711.1658297968	586.0734891585	836.258170435	1.4268827816	0.5128668223	0.0261888996	0.1039467549
ABHD6	1426.4126855888	964.4106289769	1888.4147422007	1.9581023741	0.9694561943	1.81371768627605e-06	3.72909598171916e-05
ABHD8	580.8710065938	606.940471042	554.8015421455	0.9140954815	-0.1295832255	0.6026129897	0.7894705572
ABI1	954.066283922	1047.3161235005	860.8164443436	0.8219260881	-0.2829194299	0.1767060782	0.3882522204
ABI2	443.1612296373	472.2252118864	414.0972473882	0.8769062663	-0.1895054557	0.451685255	0.6755919391
ABI3BP	136.3123872875	94.6245586375	178.0002159376	1.8811206995	0.9115924204	0.0403224583	0.1409684788
ABI3	219.5544438776	199.1760921228	239.9327956324	1.2046264844	0.2685858829	0.447544738	0.671941588
ABL1	982.6434825841	1141.304335873	823.9826292952	0.7219657399	-0.4699977177	0.0260845	0.1036317118
ABL2	486.7350188787	604.9672537728	368.5027839846	0.6091284804	-0.7151815343	0.0042283795	0.0257127958
ABLIM1	1779.0951095349	1929.711303	1628.4789160699	0.8438976926	-0.2448599861	0.1992713138	0.4194211988
ABLIM2	85.0521464247	126.8116189191	43.2926739302	0.3413935907	-1.5504921212	0.0037993604	0.0236534917
ABLIM3	2657.7540080088	1836.8487821129	3478.6592339048	1.89381906	0.9212984989	2.65613290339138e-06	5.21744240090104e-05
ABO	2.4284349498	2.5454736376	2.3113962619	0.9080417207	-0.1391695101	0.9028454152	0.9749170224
ABP1	183.2650783391	60.2363416485	306.2938150298	5.0848674844	2.3462101768	1.47723616362198e-05	0.0002334905
ABRA	0.5258918853	0.9557192827	0.0960644878	0.100515381	-3.3145118133	0.319294205	0.5544280225
ABR	516.7658800951	653.838992139	379.6927680512	0.5807129471	-0.7841028954	0.3169631681	0.5518263033
ABT1	767.5534229045	795.3061376772	739.8007081319	0.9302087248	-0.1043736234	0.6371188925	0.8141430948
ABTB1	666.5866898163	683.5401683327	649.6332112998	0.9503950776	-0.073400731	0.8273381251	0.9334120584
ABTB2	576.3980877609	521.7882563322	631.0079191895	1.2093179782	0.2741936368	0.2565983909	0.4860881875
ACAA1	13981.4047179737	7587.9937928979	20374.8156430496	2.6851386808	1.4249966018	3.41228337028908e-11	1.91008972010864e-09
ACAA2	18018.3440388775	10499.9219777147	25536.7661000404	2.432091034	1.2821972304	8.58332971255585e-09	3.13073314261359e-07
ACACA	1109.1554173834	1487.8578213702	730.4530133966	0.490942752	-1.0263732908	1.27957542759069e-06	2.75670933054243e-05
ACACB	3862.7896060902	2399.7318714795	5325.8473407008	2.219351005	1.1501378573	6.1651174972131e-09	2.30959372700239e-07
ACAD10	1467.3385959108	1316.0218123248	1618.6553794967	1.2299609052	0.2986124596	0.1250422877	0.3095371968
ACAD11	3293.0690178673	1835.6966104232	4750.4414253115	2.5878140202	1.3717339381	4.42505334310207e-12	2.88641808380333e-10
ACAD8	785.855267924	690.3895182758	881.3210175722	1.2765561965	0.3522570494	0.107815481	0.279690629
ACAD9	1316.4054931983	1359.7642819407	1273.046704456	0.9362260219	-0.0950712303	0.6682029128	0.8347364561
ACADL	507.8508575621	265.3086873064	750.3930278178	2.828377146	1.4999745071	2.93490796310883e-09	1.18423536311441e-07
ACADM	5091.9811327698	3502.3735662198	6681.5886993197	1.907731592	0.9318582059	2.32316326916359e-06	4.64824650797112e-05
ACADSB	13748.660394189	6905.0940598676	20592.2267285104	2.9821790333	1.5763668716	3.38799205309628e-13	2.84717659728169e-11
ACADS	5522.8668792203	2532.6707572122	8513.0630012283	3.3612987306	1.7490187658	4.56482642002388e-18	7.89388911634129e-16
ACADVL	16388.6699625373	13366.2324222575	19411.1075028172	1.4522497357	0.5382895673	0.0097319768	0.0490090815
ACAN	26.9634034494	51.0994097743	2.8273971244	0.0553313069	-4.1757601899	8.82100536615341e-06	0.0001503919
ACAP1	104.6008914204	89.7236499591	119.4781328816	1.3316236348	0.413186382	0.3778306322	0.6099711331
ACAP2	684.63851786	691.9595774693	677.3174582507	0.9788396321	-0.0308555792	0.8791222275	0.961818697
ACAP3	612.2940995535	721.6424368781	502.945762229	0.6969459341	-0.5208813523	0.0285802203	0.1104653176
ACAT1	14816.4463901033	8982.8018898499	20650.0908903566	2.2988474135	1.20091071	2.87549520138784e-08	9.28209851007994e-07
ACAT2	2891.9607189005	2261.0335304439	3522.8879073571	1.5580874233	0.6397761843	0.0033285977	0.0213541839
ACBD3	1151.0359620731	1292.5574901493	1009.5144339969	0.7810209153	-0.3565669115	0.0727344082	0.2150717586
ACBD4	1937.2733206025	1407.6110828823	2466.9355583226	1.7525690074	0.8094712515	3.21318644448986e-05	0.0004626988
ACBD5	2196.5970025858	1853.325238712	2539.8687664597	1.3704387732	0.4546378746	0.0209888144	0.0880250151
ACBD6	392.3176808684	512.1523824941	272.4829792428	0.5320349735	-0.91040701	0.0009982616	0.0082133943
ACBD7	15.4462556647	24.8777697734	6.014741556	0.2417717348	-2.0482825039	0.0203196702	0.0860597798
ACCN1	1.519984511	1.1024815477	1.9374874742	1.7573876663	0.813432474	0.4961116209	0.7149854807
ACCN2	38.3605343278	69.9104250361	6.8106436196	0.0974195711	-3.3596445588	2.18960133177553e-05	0.0003326133
ACCN3	14.0705281525	24.1677412094	3.9733150956	0.1644057283	-2.6046675277	0.0050549236	0.029587114
ACCN4	0.1813566919	0.3037668225	0.0589465612	0.1940520059	-2.3654847484	0.2604222118	0.4900881914
ACCN5	0.1947606005	0.2723895236	0.1171316773	0.4300153537	-1.2175399228	0.5696017349	0.7668250073
ACCSL	0.1202721778	0.2202574557	0.0202868999	0.0921053948	-3.4405705299	0.4271280978	0.6549455306
ACCS	266.9642506233	250.1740753059	283.7544259407	1.1342279395	0.1817105998	0.5257861603	0.7380899002
ACD	236.598357019	269.4727358962	203.7239781417	0.7560096106	-0.4035235203	0.2346797627	0.4608412901
ACE2	159.7120330718	147.3638600789	172.0602060647	1.1675875345	0.2235307134	0.615409615	0.7984494522
ACER1	1.4927420409	1.1446161049	1.840867977	1.6082841828	0.6855223524	0.5394205284	0.7482747802
ACER2	31.1358004158	24.8936311387	37.3779696928	1.5015073327	0.5864115204	0.4323999092	0.6595676017
ACER3	177.9490031866	201.5892205678	154.3087858053	0.7654614933	-0.3855982904	0.3203716912	0.5556016221
ACE	171.0522089724	232.9836738428	109.120744102	0.4683621917	-1.0943034753	0.005670629	0.0323310989
ACHE	138.8082064578	182.0872993656	95.52911355	0.5246335899	-0.930617915	0.085942582	0.2402621143
ACIN1	1752.2214788726	1812.6765945335	1691.7663632116	0.9332974058	-0.0995912094	0.5970862168	0.7868521363
ACLY	2004.9204246985	2756.4975325927	1253.3433168042	0.4546868996	-1.1370546571	1.2268016206237e-08	4.31228562399996e-07
ACMSD	2514.649812306	1998.4785065457	3030.8211180664	1.5165642803	0.6008066486	0.0016693574	0.0122689375
ACN9	282.8242352169	281.5579988637	284.09047157	1.0089944975	0.0129183067	0.9499344247	1
ACO1	5850.8340245735	4776.5343763922	6925.1336727548	1.4498238947	0.5358776715	0.0059808058	0.033643987
ACO2	4495.3937031362	5168.9914215683	3821.795984704	0.7393697673	-0.4356320416	0.0271280353	0.1065968324
ACOT11	38.7278736354	50.6051649878	26.850582283	0.5305897588	-0.9143312654	0.3075235156	0.5420563752
ACOT12	1375.4805015743	733.6541155143	2017.3068876343	2.7496702397	1.4592586106	1.40137161865548e-12	1.00154116273503e-10
ACOT13	2335.275472769	2003.3736699377	2667.1772756002	1.3313428821	0.4128821795	0.0323682826	0.1208957772
ACOT1	2760.7525279243	1993.3205665011	3528.1844893475	1.7700035552	0.8237522581	1.65531686957213e-05	0.0002581335
ACOT2	1484.5276916599	1032.6120362551	1936.4433470648	1.8752864378	0.9071109747	5.96678155102291e-06	0.0001069053
ACOT4	427.8668979698	393.5825996868	462.1511962528	1.1742165345	0.231698477	0.3216264624	0.5566313398
ACOT6	30.7419740635	27.1867665193	34.2971816077	1.261539565	0.3351854535	0.5967868567	0.7866717375
ACOT7	740.7788358396	780.2899454833	701.2677261958	0.8987271081	-0.1540449764	0.5087032881	0.7247730825
ACOT8	688.7241146247	775.5327740456	601.9154552039	0.7761315516	-0.36562689	0.1227773504	0.3057672268
ACOT9	426.5584339714	498.3081140336	354.8087539092	0.7120268443	-0.4899964613	0.0706879527	0.2111155385
ACOX1	9573.69266507	7117.4119702649	12029.9733598751	1.6902173726	0.7572087981	0.0001972691	0.0021712325
ACOX2	4428.6281260582	2849.731770741	6007.5244813755	2.1081017319	1.0759444896	4.08454786532198e-08	1.28008936983101e-06
ACOX3	745.5152789371	626.531896433	864.4986614412	1.3798158823	0.4644757717	0.0419464356	0.1449830644
ACOXL	0.5107933015	0.6734139289	0.3481726742	0.5170262439	-0.9516905824	0.5196491293	0.7335153659
ACP1	2126.2434273074	2165.1541394494	2087.3327151653	0.9640573284	-0.052809155	0.7843106133	0.9058316513
ACP2	2828.3657651356	2522.7704625928	3133.9610676784	1.2422696056	0.3129783108	0.0969313326	0.2595915444
ACP5	1209.3276973342	1223.5912875865	1195.0641070818	0.976685695	-0.0340337285	0.9927236165	1
ACP6	438.6067275123	527.4130334615	349.800421563	0.6632381063	-0.5924011957	0.0256648992	0.1022382465
ACPL2	145.2517709842	163.7385570309	126.7649849375	0.7741914137	-0.3692377877	0.3605913655	0.5943346763
ACPP	3.0805265533	2.8679048449	3.2931482617	1.1482766828	0.1994703082	0.8884365646	0.9676092401
ACPT	1.1171524929	2.1317587205	0.1025462654	0.0481040675	-4.3776973011	0.0052814512	0.0305620398
ACRBP	23.1970108623	28.9233776727	17.4706440518	0.6040319443	-0.7273032462	0.3604453662	0.5942884015
ACRC	11.5192581795	13.9853072235	9.0532091355	0.6473371654	-0.6274107595	0.4890447211	0.7091276603
ACRV1	0.252286306	0.2883184619	0.2162541501	0.7500530791	-0.4149354003	0.8673943313	0.9564788184
ACR	7.011702037	6.0227228473	8.0006812266	1.3284159722	0.4097069743	0.6658080643	0.8334988586
ACSBG1	4.6514826465	6.0213737009	3.2815915921	0.5449905213	-0.8756969568	0.4235990245	0.6515976417
ACSBG2	0.8500191654	1.638681299	0.0613570318	0.0374429316	-4.7391627951	0.0109994925	0.0536401177
ACSF2	1802.1721320874	1701.9257690684	1902.4184951065	1.1178034493	0.160666532	0.3700279956	0.603156221
ACSF3	827.3592717422	723.6949642132	931.0235792713	1.2864861928	0.3634359735	0.0817675723	0.2321762704
ACSL1	32956.4326414985	14615.6073985829	51297.2578844141	3.5097588821	1.8113719218	1.28234537800083e-12	9.23288672160595e-11
ACSL3	2366.7274032207	2546.9859055905	2186.4689008509	0.8584534748	-0.2201881477	0.2416482174	0.4689621918
ACSL4	5358.1556658834	8864.6012928749	1851.710038892	0.2088881358	-2.2591975406	0.0001452275	0.0016913804
ACSL5	5121.6366871178	4266.3772968126	5976.896077423	1.4009300307	0.4863849023	0.0305880948	0.1162767852
ACSL6	134.590541989	211.4993181493	57.6817658287	0.2727279044	-1.8744657763	0.0135630534	0.0632224352
ACSM1	849.9325122578	1216.0671890614	483.7978354541	0.3978380798	-1.3297467218	0.0081087039	0.0429209212
ACSM2A	12377.7326848848	8442.2145062196	16313.25086355	1.932342616	0.9503509154	3.75116003219876e-06	7.08804561010981e-05
ACSM2B	10528.2892136453	8012.5576283958	13044.0207988947	1.6279472054	0.7030539135	0.0005340955	0.0049459395
ACSM3	2004.7936747891	762.3439584196	3247.2433911585	4.2595515519	2.0907015507	3.46338394337795e-24	1.28997731183354e-21
ACSM4	0	0	0	NA	NA	NA	NA
ACSM5	4779.7091141138	2499.1272658514	7060.2909623762	2.8251026104	1.4983032685	3.3110945454079e-14	3.26975748477471e-12
ACSS1	339.0764484869	416.6185564626	261.5343405112	0.6277549006	-0.6717267088	0.0211339554	0.0884827844
ACSS2	3545.4439124637	3588.3980573647	3502.4897675627	0.9760594314	-0.0349591	0.9447698527	0.9970196974
ACSS3	1556.6587411747	1432.315607729	1681.0018746204	1.1736253278	0.230971911	0.2274186985	0.4524545818
ACTA1	1.4303137484	1.8818561282	0.9787713686	0.5201095631	-0.9431125303	0.4584787961	0.6822232116
ACTA2	3326.6021500807	4409.3726311016	2243.8316690598	0.5088777603	-0.9746089528	0.0221245804	0.0915081315
ACTBL2	0.4517325575	0.7300009427	0.1734641724	0.2376218471	-2.0732606103	0.2055922815	0.4274271477
ACTB	72773.6490294999	71461.4098034269	74085.8882555728	1.0367258141	0.0520343908	0.872897455	0.9591337885
ACTC1	2.4364982071	3.8353939145	1.0376024997	0.2705334896	-1.8861208972	0.1131698086	0.2894707942
ACTG1	44229.7838254561	41660.4403614984	46799.1272894138	1.1233469182	0.1678035376	0.5437996357	0.7506993117
ACTG2	104.8358779586	168.2299410479	41.4418148694	0.2463403043	-2.0212754051	5.8681962841549e-05	0.0007715901
ACTL6A	494.4817731862	584.9105262126	404.0530201598	0.6907945781	-0.5336713355	0.0298176045	0.11413189
ACTL6B	0.0998853353	0.1997706706	0	0	-Inf	0.0958929581	0.2579162357
ACTL7A	0	0	0	NA	NA	NA	NA
ACTL7B	0.0299642594	0.0187138234	0.0412146953	2.2023663724	1.1390544869	0.979198863	1
ACTL8	9.0674727572	18.0334941971	0.1014513173	0.005625716	-7.4737475538	8.34458354003373e-05	0.0010453939
ACTL9	0	0	0	NA	NA	NA	NA
ACTN1	3267.6857864712	3053.7449867046	3481.6265862378	1.1401170043	0.1891818883	0.3575168961	0.5916762577
ACTN2	118.2719199798	228.35291791	8.1909220496	0.0358695747	-4.8010955497	0.0105142339	0.0518559531
ACTN3	2.2640578079	4.1171442506	0.4109713651	0.0998195205	-3.3245342156	0.2745428444	0.5068149012
ACTN4	7854.4456309393	9048.0090942866	6660.882167592	0.7361710292	-0.4418871188	0.0239146761	0.0967173619
ACTR10	792.6317273197	831.6859622864	753.577492353	0.906084179	-0.1422830059	0.5339782022	0.7438211896
ACTR1A	2115.4330296323	2269.610137126	1961.2559221386	0.864137805	-0.210666696	0.304742728	0.5395549603
ACTR1B	1483.6489828742	1542.4997329989	1424.7982327495	0.923694314	-0.1145126075	0.5825429794	0.776456708
ACTR2	3865.3155539653	3893.0549744622	3837.5761334685	0.9857492788	-0.020707345	0.8564770963	0.9507008214
ACTR3B	178.6542850421	199.2549589849	158.0536110993	0.7932229737	-0.3342016326	0.3999512885	0.6301355695
ACTR3C	184.1586118224	143.4457052101	224.8715184347	1.5676420434	0.648596171	0.0896583828	0.2469430545
ACTR3	2348.2960622352	2456.1260157426	2240.4661087278	0.9121950968	-0.1325856794	0.4705213174	0.6930608317
ACTR5	186.4444362022	234.7126798825	138.1761925219	0.5887035698	-0.764386719	0.0515287658	0.1691540909
ACTR6	400.9676469574	421.4735013947	380.4617925202	0.9026944547	-0.14769035	0.5979196513	0.7874146874
ACTR8	303.6957366836	330.9239147394	276.4675586279	0.8354414605	-0.259389353	0.3985396391	0.6288834715
ACTRT1	0.0195698731	0.0391397462	0	0	-Inf	0.5698684691	0.7670590389
ACTRT2	0	0	0	NA	NA	NA	NA
ACVR1B	1367.0656726349	1273.4834368987	1460.6479083712	1.1469704796	0.1978282601	0.3624876576	0.5959046719
ACVR1C	88.3084971366	52.915418382	123.7015758912	2.3377227219	1.2251038215	0.0192528905	0.0825160395
ACVR1	727.4760662868	658.6566227518	796.2955098217	1.2089691082	0.2737773811	0.2515266147	0.4807613295
ACVR2A	328.2379322735	269.039874371	387.4359901761	1.4400690272	0.5261379664	0.0778149678	0.2244074294
ACVR2B	267.7350108174	233.5669742911	301.9030473437	1.2925759229	0.3702490235	0.285633849	0.5192075446
ACVRL1	306.4027486778	406.1259907552	206.6795066003	0.5089048997	-0.9745320133	0.0022082352	0.0154198597
ACY1	8439.1197931424	6686.7699405038	10191.469645781	1.5241244632	0.6079807211	0.0018984626	0.0135981596
ACY3	719.4358582496	542.9129454049	895.9587710944	1.6502807286	0.7227114616	0.0013386711	0.010366806
ACYP1	28.8338370687	39.2338015286	18.4338726088	0.469846711	-1.0897379452	0.150284413	0.3489221423
ACYP2	304.7712654067	247.7844812401	361.7580495733	1.459970567	0.5459392847	0.0687127567	0.2068451446
ADAD1	3.3632435446	6.7061634611	0.0203236282	0.0030305894	-8.3661858625	0.0908938037	0.2490001684
ADAD2	1.3107031152	0.8079032027	1.8135030278	2.2447033529	1.1665247992	0.3514439771	0.5863539454
ADAL	190.9023895489	201.6589380739	180.1458410239	0.8933193973	-0.1627520063	0.7055964135	0.8570706388
ADAM10	1029.2927618914	1160.5589274861	898.0265962966	0.7737880215	-0.3699896994	0.071623803	0.213121803
ADAM11	9.3894130136	15.6046427778	3.1741832495	0.2034127467	-2.2975180072	0.0197668014	0.0841599056
ADAM12	118.393346829	219.1294920885	17.6572015695	0.0805788459	-3.6334550478	0.040110105	0.1403274051
ADAM15	1594.0271600823	2291.4231538545	896.6311663101	0.3912988157	-1.3536573512	3.56710735646644e-11	1.99100101671591e-09
ADAM17	207.2454674974	220.9700992774	193.5208357174	0.8757783807	-0.1913622588	0.5596830452	0.7621416874
ADAM18	0.1354591177	0.2709182355	0	0	-Inf	0.1088029683	0.2814230623
ADAM19	295.2179054584	251.873153239	338.5626576779	1.3441792161	0.4267255019	0.199296852	0.4194211988
ADAM20	0.6284023477	0.3420511387	0.9147535567	2.6743181158	1.4191710873	0.3647550957	0.5981860029
ADAM21P1	0.5787024071	0.9824032386	0.1750015756	0.1781361958	-2.4889474054	0.1310185815	0.3194320099
