geneSymbol	diseaseName
VHL	von Hippel-Lindau Disease
VHL	von Hippel-Lindau Disease
ABCC6	Pseudoxanthoma Elasticum
ABCC6	Pseudoxanthoma Elasticum
PTEN	Hamartoma Syndrome, Multiple
PTEN	Hamartoma Syndrome, Multiple
GFAP	Alexander Disease
GFAP	Alexander Disease
F9	Hemophilia B
F9	Hemophilia B
ARSA	Leukodystrophy, Metachromatic
ARSA	Leukodystrophy, Metachromatic
ENG	Telangiectasia, Hereditary Hemorrhagic
ENG	Telangiectasia, Hereditary Hemorrhagic
WAS	Wiskott-Aldrich Syndrome
WAS	Wiskott-Aldrich Syndrome
HMBS	Porphyria, Acute Intermittent
HMBS	Porphyria, Acute Intermittent
NOTCH3	CADASIL
NOTCH3	CADASIL
GAA	Glycogen Storage Disease Type II
GAA	Glycogen Storage Disease Type II
GAA	Glycogen Storage Disease Type II
ABCD1	Adrenoleukodystrophy
ABCD1	Adrenoleukodystrophy
FGFR3	Achondroplasia
FGFR3	Achondroplasia
OPA1	Optic Atrophy, Autosomal Dominant
OPA1	Optic Atrophy, Autosomal Dominant
LMNA	Progeria
LMNA	Progeria
PLP1	Pelizaeus-Merzbacher Disease
PLP1	Pelizaeus-Merzbacher Disease
SQSTM1	Osteitis Deformans
SQSTM1	Osteitis Deformans
SLC7A9	Cystinuria
SLC7A9	Cystinuria
PTCH1	Basal Cell Nevus Syndrome
PTCH1	Basal Cell Nevus Syndrome
SLC3A1	Cystinuria
SLC3A1	Cystinuria
HPRT1	Lesch-Nyhan Syndrome
HPRT1	Lesch-Nyhan Syndrome
WFS1	Wolfram Syndrome
WFS1	Wolfram Syndrome
SLC12A3	Gitelman Syndrome
SLC12A3	Gitelman Syndrome
DHCR7	Smith-Lemli-Opitz Syndrome
DHCR7	Smith-Lemli-Opitz Syndrome
FECH	Protoporphyria, Erythropoietic
FECH	Protoporphyria, Erythropoietic
FECH	Protoporphyria, Erythropoietic
WRN	Werner Syndrome
WRN	Werner Syndrome
BTK	Bruton type agammaglobulinemia
BTK	Bruton type agammaglobulinemia
PAX6	Aniridia
PAX6	Aniridia
ATP7A	Menkes Kinky Hair Syndrome
ATP7A	Menkes Kinky Hair Syndrome
RUNX2	Cleidocranial Dysplasia
RUNX2	Cleidocranial Dysplasia
BLM	Bloom Syndrome
BLM	Bloom Syndrome
EXT1	Exostoses, Multiple Hereditary
EXT1	Exostoses, Multiple Hereditary
SLC26A4	Pendred syndrome
SLC26A4	Pendred syndrome
RYR1	Myopathy, Central Core
RYR1	Myopathy, Central Core
ATP2A2	Darier Disease
ATP2A2	Darier Disease
ABCA1	Tangier Disease
ABCA1	Tangier Disease
SLC2A4	Diabetes Mellitus, Type 2
SLC2A4	Diabetes Mellitus, Type 2
RET	Multiple Endocrine Neoplasia Type 2b
RET	Multiple Endocrine Neoplasia Type 2b
VWF	von Willebrand Disease, Type 1
VWF	von Willebrand Disease, Type 1
LPL	Hyperlipoproteinemia Type I
LPL	Hyperlipoproteinemia Type I
GHR	Laron Syndrome
GHR	Laron Syndrome
HEXA	Tay-Sachs Disease
HEXA	Tay-Sachs Disease
PTPN11	LEOPARD Syndrome
PTPN11	LEOPARD Syndrome
PHEX	Hypophosphatemic Rickets, X-Linked Dominant
PHEX	Hypophosphatemic Rickets, X-Linked Dominant
TNFRSF1A	Periodic fever, familial, autosomal dominant
TNFRSF1A	Periodic fever, familial, autosomal dominant
LMX1B	Nail-Patella Syndrome
LMX1B	Nail-Patella Syndrome
TBX1	DiGeorge Syndrome
TBX1	DiGeorge Syndrome
IKBKAP	Dysautonomia, Familial
IKBKAP	Dysautonomia, Familial
PHOX2B	Congenital central hypoventilation syndrome
PHOX2B	Congenital central hypoventilation syndrome
ACADM	Medium chain acyl CoA dehydrogenase deficiency
ACADM	Medium chain acyl CoA dehydrogenase deficiency
CREBBP	Rubinstein-Taybi Syndrome
CREBBP	Rubinstein-Taybi Syndrome
BMPR2	Pulmonary arterial hypertension
BMPR2	Pulmonary arterial hypertension
NIPBL	De Lange Syndrome
NIPBL	De Lange Syndrome
RPS6KA3	Coffin-Lowry Syndrome
RPS6KA3	Coffin-Lowry Syndrome
EPM2A	Lafora Disease
EPM2A	Lafora Disease
GALC	Leukodystrophy, Globoid Cell
GALC	Leukodystrophy, Globoid Cell
CHD7	CHARGE Syndrome
CHD7	CHARGE Syndrome
EFHC1	Myoclonic Epilepsy, Juvenile
EFHC1	Myoclonic Epilepsy, Juvenile
CLN3	Ceroid lipofuscinosis, neuronal 3, Juvenile
CLN3	Ceroid lipofuscinosis, neuronal 3, Juvenile
CHM	Choroideremia
CHM	Choroideremia
SMAD4	Juvenile polyposis syndrome
SMAD4	Juvenile polyposis syndrome
CYBB	Granulomatous Disease, Chronic, X-Linked
CYBB	Granulomatous Disease, Chronic, X-Linked
KCNQ1	Jervell-Lange Nielsen Syndrome
KCNQ1	Jervell-Lange Nielsen Syndrome
LCAT	Lecithin Acyltransferase Deficiency
LCAT	Lecithin Acyltransferase Deficiency
SLC26A4	Enlarged Vestibular Aqueduct
SLC26A4	Enlarged Vestibular Aqueduct
WT1	Denys-Drash Syndrome
WT1	Denys-Drash Syndrome
PTPN11	Leukemia, Myelomonocytic, Juvenile
PTPN11	Leukemia, Myelomonocytic, Juvenile
SURF1	Leigh Disease
SURF1	Leigh Disease
INSL3	Cryptorchidism
INSL3	Cryptorchidism
NHLRC1	Lafora Disease
NHLRC1	Lafora Disease
GP1BA	Bernard-Soulier Syndrome
GP1BA	Bernard-Soulier Syndrome
LAMP2	Glycogen Storage Disease Type IIb
LAMP2	Glycogen Storage Disease Type IIb
HEXB	Sandhoff Disease
HEXB	Sandhoff Disease
DYSF	Miyoshi myopathy
DYSF	Miyoshi myopathy
COMP	Pseudoachondroplasia
COMP	Pseudoachondroplasia
COL7A1	Recessive dystrophic epidermolysis bullosa
COL7A1	Recessive dystrophic epidermolysis bullosa
KRT10	Hyperkeratosis, Epidermolytic
KRT10	Hyperkeratosis, Epidermolytic
ND6	Optic Atrophy, Hereditary, Leber
ND6	Optic Atrophy, Hereditary, Leber
ABCC2	Jaundice, Chronic Idiopathic
ABCC2	Jaundice, Chronic Idiopathic
TBX5	Holt-Oram syndrome
TBX5	Holt-Oram syndrome
PDGFRA	Gastrointestinal Stromal Tumors
PDGFRA	Gastrointestinal Stromal Tumors
TCOF1	Mandibulofacial Dysostosis
TCOF1	Mandibulofacial Dysostosis
G6PC	Glycogen Storage Disease Type I
G6PC	Glycogen Storage Disease Type I
TGM1	Lamellar ichthyosis, type 1
TGM1	Lamellar ichthyosis, type 1
CACNA1S	Hypokalemic Periodic Paralysis
CACNA1S	Hypokalemic Periodic Paralysis
GUSB	Mucopolysaccharidosis VII
GUSB	Mucopolysaccharidosis VII
EDA	Ectodermal Dysplasia 1, Anhidrotic
EDA	Ectodermal Dysplasia 1, Anhidrotic
IRF6	Van der Woude syndrome
IRF6	Van der Woude syndrome
KCNQ1	Romano-Ward Syndrome
KCNQ1	Romano-Ward Syndrome
PITX2	Axenfeld-Rieger syndrome
PITX2	Axenfeld-Rieger syndrome
CACNA1A	Hemiplegic migraine, familial type 1
FAS	Autoimmune Lymphoproliferative Syndrome
CACNA1A	Hemiplegic migraine, familial type 1
FAS	Autoimmune Lymphoproliferative Syndrome
SOX9	Campomelic Dysplasia
SOX9	Campomelic Dysplasia
COL4A5	ALPORT SYNDROME, X-LINKED
COL4A5	ALPORT SYNDROME, X-LINKED
BBS2	Bardet-Biedl Syndrome
BBS2	Bardet-Biedl Syndrome
MCOLN1	Mucolipidosis Type IV
MCOLN1	Mucolipidosis Type IV
CAPN3	Limb-girdle muscular dystrophy type 2A
TYR	Oculocutaneous albinism type 1
CAPN3	Limb-girdle muscular dystrophy type 2A
TYR	Oculocutaneous albinism type 1
UROS	Porphyria, Erythropoietic
UROS	Porphyria, Erythropoietic
DBT	Maple Syrup Urine Disease
DBT	Maple Syrup Urine Disease
BTD	Biotinidase Deficiency
BTD	Biotinidase Deficiency
FGFR2	Craniofacial Dysostosis
FGFR2	Craniofacial Dysostosis
HRAS	Costello Syndrome
HRAS	Costello Syndrome
MET	Carcinoma, Hepatocellular
MET	Carcinoma, Hepatocellular
NDP	Norrie disease
NDP	Norrie disease
GP1BB	Bernard-Soulier Syndrome
GP1BB	Bernard-Soulier Syndrome
HGD	Alkaptonuria
HGD	Alkaptonuria
PORCN	Focal Dermal Hypoplasia
PORCN	Focal Dermal Hypoplasia
MTM1	Myotubular myopathy, X-linked
MTM1	Myotubular myopathy, X-linked
GBE1	Glycogen Storage Disease Type IV
GBE1	Glycogen Storage Disease Type IV
ASS1	Citrullinemia
ASS1	Citrullinemia
DYSF	Limb-girdle muscular dystrophy, type 2B
DYSF	Limb-girdle muscular dystrophy, type 2B
FOXL2	Blepharophimosis, Ptosis, and Epicanthus Inversus
FOXL2	Blepharophimosis, Ptosis, and Epicanthus Inversus
FKTN	Micropolygyria with Muscular Dystrophy
FKTN	Micropolygyria with Muscular Dystrophy
FLCN	Birt-Hogg-Dube Syndrome
FLCN	Birt-Hogg-Dube Syndrome
ABCA4	Stargardt disease 1
AGA	Aspartylglucosaminuria
ABCA4	Stargardt disease 1
AGA	Aspartylglucosaminuria
CSTB	Unverricht-Lundborg Syndrome
CSTB	Unverricht-Lundborg Syndrome
GJB1	Charcot-Marie-Tooth disease, X-linked, 1
VCP	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal Dementia
GJB1	Charcot-Marie-Tooth disease, X-linked, 1
VCP	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal Dementia
NLRP3	Muckle-Wells syndrome
NLRP3	Muckle-Wells syndrome
BBS1	Bardet-Biedl Syndrome
BBS1	Bardet-Biedl Syndrome
GJB2	Keratitis, Ichthyosis, and Deafness (KID) Syndrome
INS	Diabetes Mellitus, Permanent Neonatal
GJB2	Keratitis, Ichthyosis, and Deafness (KID) Syndrome
INS	Diabetes Mellitus, Permanent Neonatal
COL2A1	Spondyloepiphyseal dysplasia, congenita
GPC3	Simpson-Golabi-Behmel syndrome
COL2A1	Spondyloepiphyseal dysplasia, congenita
GPC3	Simpson-Golabi-Behmel syndrome
BBS4	Bardet-Biedl Syndrome
BBS4	Bardet-Biedl Syndrome
FGF23	Hypophosphatemic Rickets, Autosomal Dominant
FGF23	Hypophosphatemic Rickets, Autosomal Dominant
CPOX	Coproporphyria, Hereditary
CPOX	Coproporphyria, Hereditary
PMP22	Tomaculous neuropathy
PMP22	Tomaculous neuropathy
SH3BP2	Cherubism
SH3BP2	Cherubism
FLT4	Milroy's Disease
GJA1	Oculodentodigital Dysplasia
ITGB2	Leukocyte adhesion deficiency type 1
PAX2	Papillorenal syndrome
FLT4	Milroy's Disease
GJA1	Oculodentodigital Dysplasia
ITGB2	Leukocyte adhesion deficiency type 1
PAX2	Papillorenal syndrome
PHYH	Refsum Disease
PHYH	Refsum Disease
PRNP	Insomnia, Fatal Familial
PRNP	Insomnia, Fatal Familial
UMOD	Juvenile gout
UMOD	Juvenile gout
MKKS	Bardet-Biedl Syndrome
MKKS	Bardet-Biedl Syndrome
ATRX	ATR-X syndrome
BRAF	Cardiofaciocutaneous syndrome
LGI1	Epilepsy, Lateral Temporal Lobe, Autosomal Dominant
ATRX	ATR-X syndrome
BRAF	Cardiofaciocutaneous syndrome
LGI1	Epilepsy, Lateral Temporal Lobe, Autosomal Dominant
CTSK	Pycnodysostosis
FERMT1	Poikiloderma of Kindler
GPR143	Ocular Albinism type 1
NLRP3	Familial cold urticaria
RYR2	Polymorphic catecholergic ventricular tachycardia
CTSK	Pycnodysostosis
FERMT1	Poikiloderma of Kindler
GPR143	Ocular Albinism type 1
NLRP3	Familial cold urticaria
RYR2	Polymorphic catecholergic ventricular tachycardia
CTSA	Neuraminidase deficiency with beta-galactosidase deficiency
LAMA2	Muscular dystrophy congenital, merosin negative
CTSA	Neuraminidase deficiency with beta-galactosidase deficiency
LAMA2	Muscular dystrophy congenital, merosin negative
LBR	Pelger-Huet Anomaly
SCN4A	Paralysis, Hyperkalemic Periodic
LBR	Pelger-Huet Anomaly
SCN4A	Paralysis, Hyperkalemic Periodic
SLC22A5	Systemic carnitine deficiency
SLC22A5	Systemic carnitine deficiency
FBN2	Congenital contractural arachnodactyly
FBN2	Congenital contractural arachnodactyly
CASR	Hyperparathyroidism, Neonatal Severe Primary
ERCC2	Xeroderma Pigmentosum, Complementation Group D
GCK	Maturity-Onset Diabetes of the Young, Type 2
MID1	Opitz GBBB Syndrome, X-Linked
SCN5A	Long Qt Syndrome 3
TP63	Hay-Wells syndrome
ZEB2	Mowat-Wilson syndrome
CASR	Hyperparathyroidism, Neonatal Severe Primary
ERCC2	Xeroderma Pigmentosum, Complementation Group D
GCK	Maturity-Onset Diabetes of the Young, Type 2
MID1	Opitz GBBB Syndrome, X-Linked
SCN5A	Long Qt Syndrome 3
TP63	Hay-Wells syndrome
ZEB2	Mowat-Wilson syndrome
MKS1	Meckel syndrome type 1
MKS1	Meckel syndrome type 1
GLI3	Greig cephalopolysyndactyly syndrome
LRP5	Osteoporosis-pseudoglioma syndrome
PLA2G6	Infantile Neuroaxonal Dystrophy
GLI3	Greig cephalopolysyndactyly syndrome
LRP5	Osteoporosis-pseudoglioma syndrome
PLA2G6	Infantile Neuroaxonal Dystrophy
GATA3	Barakat syndrome
HNF1A	Maturity-Onset Diabetes of the Young, Type 3
GATA3	Barakat syndrome
HNF1A	Maturity-Onset Diabetes of the Young, Type 3
COL6A1	Bethlem myopathy
LDLR	HYPERCHOLESTEROLEMIA, FAMILIAL
TBX3	Ulnar-mammary syndrome
COL6A1	Bethlem myopathy
LDLR	HYPERCHOLESTEROLEMIA, FAMILIAL
TBX3	Ulnar-mammary syndrome
CACNA1F	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 2A
DYM	Smith-McCort Dysplasia
SMARCAL1	Schimke immunoosseous dysplasia
TIMP3	Fundus Dystrophy, Pseudoinflammatory, Of Sorsby
CACNA1F	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 2A
DYM	Smith-McCort Dysplasia
SMARCAL1	Schimke immunoosseous dysplasia
TIMP3	Fundus Dystrophy, Pseudoinflammatory, Of Sorsby
ABHD5	Triglyceride storage disease with impaired long-chain fatty acid oxidation
CYP27B1	Vitamin D Hydroxylation-Deficient Rickets, Type 1A
DNAI1	Kartagener Syndrome
NR2E3	Enhanced S-Cone Syndrome
ABHD5	Triglyceride storage disease with impaired long-chain fatty acid oxidation
CYP27B1	Vitamin D Hydroxylation-Deficient Rickets, Type 1A
DNAI1	Kartagener Syndrome
NR2E3	Enhanced S-Cone Syndrome
DES	Myopathy, Myofibrillar, Desmin-Related
FOXP3	Immunodysregulation, Polyendocrinopathy, and Enteropathy, X-Linked
SLC16A2	Allan-Herndon-Dudley syndrome
SLC19A2	Thiamine responsive megaloblastic anemia syndrome
TREX1	Aicardi-Goutieres syndrome
DES	Myopathy, Myofibrillar, Desmin-Related
FOXP3	Immunodysregulation, Polyendocrinopathy, and Enteropathy, X-Linked
SLC16A2	Allan-Herndon-Dudley syndrome
SLC19A2	Thiamine responsive megaloblastic anemia syndrome
TREX1	Aicardi-Goutieres syndrome
ARL6	Bardet-Biedl Syndrome
SMPD1	Niemann-Pick Disease, Type B
ARL6	Bardet-Biedl Syndrome
SMPD1	Niemann-Pick Disease, Type B
KCNA1	Episodic Ataxia, Type 1
SERPINC1	Antithrombin III Deficiency
TPMT	Thiopurine S methyltranferase deficiency
KCNA1	Episodic Ataxia, Type 1
SERPINC1	Antithrombin III Deficiency
TPMT	Thiopurine S methyltranferase deficiency
PFKM	Glycogen Storage Disease Type VII
PFKM	Glycogen Storage Disease Type VII
EFNB1	Craniofrontonasal dysplasia
FGFR3	Muenke Syndrome
SGCE	Myoclonic dystonia
TTPA	Ataxia with vitamin E deficiency
EFNB1	Craniofrontonasal dysplasia
FGFR3	Muenke Syndrome
SGCE	Myoclonic dystonia
TTPA	Ataxia with vitamin E deficiency
ENPP1	Ossification of the posterior longitudinal ligament of the spine
ENPP1	Ossification of the posterior longitudinal ligament of the spine
GAN	Giant Axonal Neuropathy
KRT2	Ichthyosis Bullosa of Siemens
L1CAM	MASA (Mental Retardation, Aphasia, Shuffling Gait, Adducted Thumbs) Syndrome
LDLRAP1	Hypercholesterolemia, Autosomal Recessive
PNP	Purine Nucleoside Phosphorylase Deficiency
PTEN	Carcinoma, squamous cell of head and neck
GAN	Giant Axonal Neuropathy
KRT2	Ichthyosis Bullosa of Siemens
L1CAM	MASA (Mental Retardation, Aphasia, Shuffling Gait, Adducted Thumbs) Syndrome
LDLRAP1	Hypercholesterolemia, Autosomal Recessive
PNP	Purine Nucleoside Phosphorylase Deficiency
PTEN	Carcinoma, squamous cell of head and neck
ASL	Argininosuccinic Aciduria
COL4A1	Familial porencephaly
FOXC2	Lymphedema distichiasis syndrome
HCCS	Microphthalmia, syndromic 7
IRF6	Popliteal Pterygium Syndrome
MAN2B1	alpha-Mannosidosis
MITF	Waardenburg syndrome type 2A
SGCG	Limb-girdle muscular dystrophy, type 2C
SLC37A4	Glycogen Storage Disease IB
SLC5A1	Glucose/Galactose Malabsorption
ASL	Argininosuccinic Aciduria
COL4A1	Familial porencephaly
FOXC2	Lymphedema distichiasis syndrome
HCCS	Microphthalmia, syndromic 7
IRF6	Popliteal Pterygium Syndrome
MAN2B1	alpha-Mannosidosis
MITF	Waardenburg syndrome type 2A
SGCG	Limb-girdle muscular dystrophy, type 2C
SLC37A4	Glycogen Storage Disease IB
SLC5A1	Glucose/Galactose Malabsorption
ACADS	Short chain Acyl CoA dehydrogenase deficiency
CLRN1	USHER SYNDROME, TYPE IIIA
EIF2AK3	Wolcott-Rallison syndrome
FGFR3	Thanatophoric dysplasia, type 2
FLNA	Oto-palato-digital syndrome, type 2
HOXA13	Hand foot uterus syndrome
ITGB4	Epidermolysis bullosa with pyloric atresia
MPO	Myeloperoxidase Deficiency
PLOD1	Ehlers-Danlos syndrome type 6
ACADS	Short chain Acyl CoA dehydrogenase deficiency
CLRN1	USHER SYNDROME, TYPE IIIA
EIF2AK3	Wolcott-Rallison syndrome
FGFR3	Thanatophoric dysplasia, type 2
FLNA	Oto-palato-digital syndrome, type 2
HOXA13	Hand foot uterus syndrome
ITGB4	Epidermolysis bullosa with pyloric atresia
MPO	Myeloperoxidase Deficiency
PLOD1	Ehlers-Danlos syndrome type 6
ARG1	Hyperargininemia
ARX	Lissencephaly, X-Linked, 2
CD36	Platelet Glycoprotein IV Deficiency
PAX6	Peters anomaly
PRODH	Hyperprolinemia
XPC	Xeroderma Pigmentosum, Complementation Group C
ARG1	Hyperargininemia
ARX	Lissencephaly, X-Linked, 2
CD36	Platelet Glycoprotein IV Deficiency
PAX6	Peters anomaly
PRODH	Hyperprolinemia
XPC	Xeroderma Pigmentosum, Complementation Group C
EVC	Ellis-Van Creveld Syndrome
EVC	Ellis-Van Creveld Syndrome
ALDH5A1	succinic semialdehyde dehydrogenase deficiency
BEST1	Bestrophinopathy
EPOR	Polycythemia, primary familial and congenital
FOXP2	Developmental verbal dyspraxia
LAMB2	Pierson syndrome
ROR2	Robinow syndrome, autosomal recessive
SEPN1	Rigid spine syndrome
SLC39A4	Acrodermatitis enteropathica
SLC6A19	Hartnup Disease
TBX22	Cleft palate X-linked
ALDH5A1	succinic semialdehyde dehydrogenase deficiency
BEST1	Bestrophinopathy
EPOR	Polycythemia, primary familial and congenital
FOXP2	Developmental verbal dyspraxia
LAMB2	Pierson syndrome
ROR2	Robinow syndrome, autosomal recessive
SEPN1	Rigid spine syndrome
SLC39A4	Acrodermatitis enteropathica
SLC6A19	Hartnup Disease
TBX22	Cleft palate X-linked
ACADVL	VLCAD deficiency
CA2	Osteopetrosis with renal tubular acidosis
COL11A2	Nance Sweeney chondrodysplasia
EFEMP1	Doyne honeycomb retinal dystrophy
ETHE1	Ethylmalonic encephalopathy
FLNA	X-linked periventricular heterotopia
GK	Hyperglycerolemia
MSX2	Parietal Foramina
RPGR	Retinitis Pigmentosa 3
SGCA	Limb-girdle muscular dystrophy, type 2D
VPS13A	Neuroacanthocytosis
ACADVL	VLCAD deficiency
CA2	Osteopetrosis with renal tubular acidosis
COL11A2	Nance Sweeney chondrodysplasia
EFEMP1	Doyne honeycomb retinal dystrophy
ETHE1	Ethylmalonic encephalopathy
FLNA	X-linked periventricular heterotopia
GK	Hyperglycerolemia
MSX2	Parietal Foramina
RPGR	Retinitis Pigmentosa 3
SGCA	Limb-girdle muscular dystrophy, type 2D
VPS13A	Neuroacanthocytosis
COL10A1	Metaphyseal chondrodysplasia Schmid type
EDNRB	Waardenburg syndrome, type 4
ERCC5	Xeroderma Pigmentosum, Complementation Group G
FREM2	Fraser Syndrome
MAT1A	Methionine Adenosyltransferase Deficiency
PPARG	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3
SCNN1B	Liddle Syndrome
TRIM32	Limb-girdle muscular dystrophy type 2H
USH2A	Usher Syndrome, Type IIA
COL10A1	Metaphyseal chondrodysplasia Schmid type
EDNRB	Waardenburg syndrome, type 4
ERCC5	Xeroderma Pigmentosum, Complementation Group G
FREM2	Fraser Syndrome
MAT1A	Methionine Adenosyltransferase Deficiency
PPARG	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3
SCNN1B	Liddle Syndrome
TRIM32	Limb-girdle muscular dystrophy type 2H
USH2A	Usher Syndrome, Type IIA
CACNA1C	Timothy syndrome
COL1A1	Osteogenesis imperfecta, type 3
EGR2	Charcot-Marie-Tooth disease, Type 4E
EHMT1	Kleefstra Syndrome
ERCC3	Xeroderma Pigmentosum, Complementation Group B
GJB3	Erythrokeratodermia Variabilis
PITX1	Clubfoot
SMPD1	Niemann-Pick Disease, Type A
SPRED1	Legius syndrome
SUMF1	Multiple Sulfatase Deficiency Disease
UBR1	Johanson Blizzard syndrome
CACNA1C	Timothy syndrome
COL1A1	Osteogenesis imperfecta, type 3
EGR2	Charcot-Marie-Tooth disease, Type 4E
EHMT1	Kleefstra Syndrome
ERCC3	Xeroderma Pigmentosum, Complementation Group B
GJB3	Erythrokeratodermia Variabilis
PITX1	Clubfoot
SMPD1	Niemann-Pick Disease, Type A
SPRED1	Legius syndrome
SUMF1	Multiple Sulfatase Deficiency Disease
UBR1	Johanson Blizzard syndrome
AGXT	Primary hyperoxaluria type 1
BSCL2	LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 2
DLL3	Jarcho-Levin syndrome
DYM	Dyggve-Melchior-Clausen syndrome
EDAR	Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive
FGFR2	Cutis Gyrata Syndrome of Beare And Stevenson
FKRP	Muscular Dystrophy, Congenital, 1C
GLRA1	Hyperexplexia hereditary
KCNQ3	Convulsions benign familial neonatal dominant form
MTMR2	Charcot-Marie-Tooth disease, Type 4B1
NAGS	N-acetyl glutamate synthetase deficiency
SLC6A8	Creatine deficiency, X-linked
STAR	Lipoid congenital adrenal hyperplasia
TFR2	Hemochromatosis, type 3
AGXT	Primary hyperoxaluria type 1
BSCL2	LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 2
DLL3	Jarcho-Levin syndrome
DYM	Dyggve-Melchior-Clausen syndrome
EDAR	Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive
FGFR2	Cutis Gyrata Syndrome of Beare And Stevenson
FKRP	Muscular Dystrophy, Congenital, 1C
GLRA1	Hyperexplexia hereditary
KCNQ3	Convulsions benign familial neonatal dominant form
MTMR2	Charcot-Marie-Tooth disease, Type 4B1
NAGS	N-acetyl glutamate synthetase deficiency
SLC6A8	Creatine deficiency, X-linked
STAR	Lipoid congenital adrenal hyperplasia
TFR2	Hemochromatosis, type 3
ANKH	Craniometaphyseal Dysplasia, Autosomal Dominant
BUB1B	Mosaic variegated aneuploidy syndrome
COL1A1	Osteogenesis imperfecta, type 2A
COL2A1	Achondrogenesis type 2
CPS1	Carbamoyl-Phosphate Synthase I Deficiency Disease
EBP	Chondrodysplasia punctata 2, X-linked dominant
HNF4A	Maturity-Onset Diabetes of the Young, Type 1
IHH	Brachydactyly type A1
MITF	Tietz syndrome
MSX2	Craniosynostosis, Type 2
TDP1	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy
TFAP2B	Char syndrome
TPP1	Ceroid Lipofuscinosis, Neuronal, 2
TYR	Oculocutaneous albinism type 1B
ZFPM2	Tetralogy of Fallot
ANKH	Craniometaphyseal Dysplasia, Autosomal Dominant
BUB1B	Mosaic variegated aneuploidy syndrome
COL1A1	Osteogenesis imperfecta, type 2A
COL2A1	Achondrogenesis type 2
CPS1	Carbamoyl-Phosphate Synthase I Deficiency Disease
EBP	Chondrodysplasia punctata 2, X-linked dominant
HNF4A	Maturity-Onset Diabetes of the Young, Type 1
IHH	Brachydactyly type A1
MITF	Tietz syndrome
MSX2	Craniosynostosis, Type 2
TDP1	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy
TFAP2B	Char syndrome
TPP1	Ceroid Lipofuscinosis, Neuronal, 2
TYR	Oculocutaneous albinism type 1B
ZFPM2	Tetralogy of Fallot
ATP6V0A4	Renal tubular acidosis, distal, autosomal recessive
BCS1L	Finnish lethal neonatal metabolic syndrome
CIITA	Bare lymphocyte syndrome 2
COL5A1	Ehlers-Danlos syndrome type 1
FBLN5	Cutis Laxa, Autosomal Recessive, Type I
GUCY2D	Retinal cone dystrophy 2
HADHB	Trifunctional Protein Deficiency
KRT4	Leukokeratosis, Hereditary Mucosal
LIG4	LIG4 Syndrome
