id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ABCG8	1.7500015594	0.6310308593	2.8689722594	4.5464848777	2.1847515542	0.0437159228	0.1255989866
ABHD10	711.1338278917	758.953947778	663.3137080054	0.873984133	-0.1943210068	0.4149778671	0.6135724008
ABHD11	724.7249964527	1012.8780277991	436.5719651062	0.4310212613	-1.2141690589	6.7635079487079e-07	9.43465941176037e-06
ABHD12B	18.9600020751	31.7682474828	6.1517566674	0.1936448232	-2.3685151612	0.0013643402	0.0077520048
ABHD12	1248.9546126904	1665.612667058	832.2965583228	0.4996939413	-1.0008833691	1.38828603811125e-05	0.0001448811
ABHD13	540.2701842526	498.0443951833	582.495973322	1.1695663659	0.2259737283	0.3552514859	0.5552791967
ABHD14A	254.1810821985	222.817328196	285.544836201	1.2815198823	0.3578558617	0.266827291	0.459450965
ABHD14B	2031.4581099864	1504.1306834454	2558.7855365274	1.7011723547	0.7665293154	0.0010796476	0.0063560108
ABHD15	570.6407123045	450.7669646226	690.5144599865	1.5318657182	0.6152898376	0.0197920991	0.0680031766
ABHD1	26.1442810715	18.9746154885	33.3139466546	1.7557112909	0.8120556277	0.246237251	0.4357670725
ABHD2	5171.8583347516	7175.1649276602	3168.551741843	0.4415998481	-1.1791884192	2.26014691970951e-06	2.79227374028799e-05
ABHD3	515.3456018443	699.4508631068	331.2403405817	0.4735719949	-1.0783443264	1.81719986138257e-05	0.000183664
ABHD4	1021.0192450717	1030.4093092735	1011.6291808698	0.9817741084	-0.0265369748	0.8655137091	0.9429532613
ABHD5	1185.5632919186	949.5947057037	1421.5318781335	1.4969879988	0.5820626555	0.0145131288	0.0532820085
ABHD6	240.8462500452	152.5541430851	329.1383570053	2.1575183102	1.1093728032	0.0005910626	0.0038288878
ABHD8	218.9849940239	245.2337972462	192.7361908015	0.7859283385	-0.3475303224	0.2864762936	0.4810764961
ABI1	1605.8727020404	1685.5777252196	1526.1676788613	0.9054270569	-0.1433296756	0.5581895494	0.7359836101
ABI2	1532.8136430798	1420.8383058165	1644.7889803432	1.1576186915	0.2111601216	0.3193932388	0.5162718879
ABI3BP	1313.1248223618	502.8772630774	2123.3723816462	4.222446584	2.0780791723	1.3096501864486e-17	7.38121864448852e-16
ABI3	181.2740233814	187.4233682651	175.1246784977	0.9343801689	-0.0979184398	0.7682650652	0.8840321923
ABL1	2393.0587297378	2173.9447827374	2612.1726767381	1.2015818881	0.2649349719	0.269091608	0.4621201772
ABL2	1204.9362736633	1389.0878048964	1020.7847424301	0.7348597683	-0.4444591251	0.0504651399	0.1401912986
ABLIM1	4889.2454157611	2934.3288796855	6844.1619518367	2.3324454185	1.221843321	1.05107341256071e-06	1.39740603191365e-05
ABLIM2	110.8399407695	81.6716127908	140.0082687482	1.7142831391	0.7776054114	0.4667916382	0.6605439084
ABLIM3	1432.022734255	787.1238798928	2076.9215886172	2.6386209867	1.3997841359	4.92243711051744e-09	9.97596917827871e-08
ABO	20.4755180533	17.381089358	23.5699467487	1.356068441	0.4394299934	0.528814836	0.7135388263
ABP1	38.7063245468	71.8846926314	5.5279564622	0.0769003283	-3.7008664327	0.083451018	0.2035230775
ABRA	67.9212718946	0.1526134532	135.6899303359	889.108577654	9.796215801	0.0452842011	0.1292340993
ABR	1880.5566700639	1710.4235660198	2050.6897741079	1.1989368101	0.2617556236	0.2574475524	0.4492286863
ABT1	546.4086523752	582.5880866439	510.2292181065	0.8757975486	-0.1913306833	0.4659502071	0.6597389765
ABTB1	500.6720092476	350.35511313	650.9889053652	1.8580830733	0.8938150049	0.0005256137	0.0034639912
ABTB2	166.9382160456	197.2278738211	136.6485582701	0.6928460751	-0.5293932207	0.1398587261	0.2942359194
ACAA1	1224.2024378167	1194.3103339616	1254.0945416718	1.0500575152	0.0704683514	0.7741284013	0.8874863207
ACAA2	1770.8763729981	1081.3695758356	2460.3831701606	2.2752472653	1.1860233405	7.16394706658464e-07	9.94359920377543e-06
ACACA	2768.5327794641	2649.9560814049	2887.1094775232	1.0894933308	0.1236573652	0.6426507699	0.8003770685
ACACB	4027.8695014174	573.0051218612	7482.7338809736	13.0587556646	3.7069455276	6.65946519548824e-25	8.79994329920023e-23
ACAD10	541.0517135192	545.744525664	536.3589013744	0.982802165	-0.0250270591	0.9168954553	0.9722308563
ACAD11	495.2288650877	301.601763508	688.8559666673	2.2839918396	1.1915574962	5.15142459920252e-06	5.89850180834916e-05
ACAD8	545.0782578692	480.9672716426	609.1892440957	1.2665918868	0.3409517434	0.1731949851	0.3421733836
ACAD9	943.658275945	948.537611272	938.778940618	0.989711878	-0.0149195017	0.9149148141	0.9712635969
ACADL	122.5308625212	13.5050373855	231.5566876569	17.1459494	4.0997958858	1.34890710831823e-18	8.3482836447404e-17
ACADM	1426.546011217	1126.2082812072	1726.8837412268	1.5333608978	0.6166972953	0.0119994175	0.0461057968
ACADSB	2576.8293398116	2733.5728533526	2420.0858262706	0.8853196736	-0.1757296134	0.4684036131	0.6622399648
ACADS	620.8251490263	290.8958737715	950.754424281	3.2683668282	1.7085699148	2.42953451306915e-11	7.02875835385995e-10
ACADVL	4796.9643658249	3255.070975655	6338.8577559949	1.9473792748	0.9615338931	0.0001420084	0.0011180586
ACAN	88.6012446691	160.2474401122	16.9550492261	0.1058054295	-3.2405144325	0.0017160356	0.0094007002
ACAP1	95.8538473751	110.3917908226	81.3159039277	0.7366118741	-0.4410234413	0.3354731297	0.5339666313
ACAP2	1529.4432669407	1527.7029653664	1531.1835685149	1.0022783245	0.0032831888	0.9926946531	1
ACAP3	482.5871176071	542.9061109523	422.2681242619	0.7777921739	-0.3625433764	0.1521755786	0.3127795892
ACAT1	1738.0206414061	1260.1107658108	2215.9305170015	1.7585204231	0.8143620902	0.0010182986	0.0060549912
ACAT2	460.8718262712	569.597592137	352.1460604054	0.6182365678	-0.6937691048	0.0079130678	0.0330937016
ACBD3	1959.8141257797	2545.164497996	1374.4637535634	0.540029438	-0.8888900414	0.0001365191	0.0010818085
ACBD4	233.0027605555	181.199152154	284.8063689569	1.5717864326	0.6524052039	0.0412370325	0.1199751035
ACBD5	935.7994455996	1042.0222814239	829.5766097752	0.7961217572	-0.3289390044	0.1475293728	0.3058009479
ACBD6	455.7045610813	564.9856729407	346.4234492218	0.6131543963	-0.7056776951	0.0065062898	0.0283077887
ACBD7	65.5783524615	81.8759867132	49.2807182097	0.6018946481	-0.7324171062	0.1857630174	0.3593513364
ACCN1	12.6861987645	20.0920493224	5.2803482067	0.2628078461	-1.9279197469	0.0225932978	0.0755559983
ACCN2	139.2442417815	131.5510557857	146.9374277774	1.1169612201	0.1595790976	0.6246166474	0.7863800549
ACCN3	13.3201747204	19.0586250353	7.5817244054	0.3978106706	-1.3298461204	0.0879937759	0.2113124345
ACCN4	1.0489212961	1.2105812368	0.8872613554	0.7329217804	-0.4482688571	0.7045348413	0.8430364594
ACCN5	0.0190461027	0.0380922054	0	0	-Inf	0.2663258953	0.4590231369
ACCSL	0.0085322054	0.0087489973	0.0083154136	0.9504419019	-0.0733296535	1	1
ACCS	261.9969088321	161.3395860991	362.6542315652	2.2477696908	1.1684942229	0.0001372508	0.0010862861
ACD	304.5635816462	292.9933925039	316.1337707885	1.0789791814	0.1096670286	0.6804964151	0.8263087758
ACE2	37.9637894988	45.7170567165	30.2105222812	0.6608151191	-0.5976813995	0.389963781	0.5899227772
ACER1	2.7464141337	3.659815373	1.8330128944	0.5008484603	-0.997553936	0.5622541274	0.7389291022
ACER2	191.2529377842	161.371548961	221.1343266074	1.3703427155	0.4545367487	0.2026713386	0.381192861
ACER3	569.2964665204	516.3627313437	622.2302016971	1.20502539	0.2690635444	0.3065691443	0.5024967113
ACE	701.5799543608	660.7198192261	742.4400894954	1.1236836975	0.1682359926	0.5428172766	0.7240509887
ACHE	48.1456163537	20.5853287311	75.7059039763	3.6776631049	1.8787893266	0.3332122112	0.531969895
ACIN1	2929.5456727308	2953.9447834197	2905.1465620418	0.9834803204	-0.0240319107	0.9303945154	0.9788963599
ACLY	4396.1125850667	5116.5620940717	3675.6630760616	0.7183853159	-0.4771702339	0.0498357966	0.1388967755
ACMSD	9.9509607499	17.7071572015	2.1947642984	0.1239478632	-3.0121946947	0.0005145608	0.0034020127
ACN9	139.5948116226	127.5435301889	151.6460930564	1.1889751901	0.2497186113	0.5188123335	0.705674145
ACO1	2506.0800178604	1077.217519732	3934.9425159887	3.6528764562	1.8690329612	3.94990486514064e-14	1.59934346682309e-12
ACO2	2905.7115655397	2748.026623471	3063.3965076084	1.1147623103	0.1567361314	0.631069756	0.7916150796
ACOT11	54.2312439295	69.2722068252	39.1902810337	0.5657432155	-0.8217807164	0.1332720085	0.2838907168
ACOT12	0.0984515741	0.1212539492	0.075649199	0.6238905992	-0.6806350239	0.778267078	0.8899502587
ACOT13	649.6374048529	702.1028375471	597.1719721586	0.8505477264	-0.2335359035	0.3179159569	0.5149991259
ACOT1	812.1534878671	604.3729716301	1019.9340041041	1.6875903655	0.7549647563	0.0025996919	0.0133854621
ACOT2	507.2853072783	389.3371901466	625.2334244101	1.6058918599	0.6833747456	0.0114076281	0.0442920356
ACOT4	232.0837224053	312.1406317525	152.0268130581	0.487045894	-1.0378703719	0.0009329476	0.005624853
ACOT6	6.9706677604	7.874074897	6.0672606237	0.770536311	-0.3760651505	0.6240270597	0.7858907338
ACOT7	401.5872018267	559.3574454621	243.8169581914	0.4358875709	-1.1979720281	8.64476908401241e-06	9.39776258899559e-05
ACOT8	276.6821916315	334.4357715774	218.9286116856	0.654620798	-0.6112686557	0.0392991028	0.1158710317
ACOT9	479.4240749321	432.9944888513	525.853661013	1.2144580925	0.2803127076	0.2994171111	0.4952517456
ACOX1	2219.2336481049	1912.9061583353	2525.5611378744	1.3202744562	0.4008378655	0.0988367975	0.2294304153
ACOX2	412.5493363444	502.4820969399	322.6165757488	0.6420459111	-0.6392516303	0.0129695263	0.0489190021
ACOX3	634.0353049588	679.725573437	588.3450364807	0.8655626027	-0.2082899271	0.4175810552	0.6164892199
ACOXL	2.4558879141	3.9115530906	1.0002227377	0.2557098714	-1.9674202397	0.0507882707	0.1408288969
ACP1	1518.3486729915	1819.964265077	1216.7330809061	0.6685477865	-0.5808974099	0.0132715309	0.0496748958
ACP2	1081.1464791557	1292.9783374177	869.3146208937	0.6723350235	-0.57274779	0.0123369862	0.0470687553
ACP5	1439.7204139238	1972.5899464235	906.8508814242	0.4597259978	-1.121153841	0.0473558291	0.1334108253
ACP6	294.8671913753	320.6660834424	269.0682993081	0.8390918566	-0.2530993416	0.4082106621	0.607377961
ACPL2	479.9562581931	546.9008011152	413.011715271	0.7551857932	-0.4050964705	0.1205022482	0.264526444
ACPP	42.8866642632	52.7519454998	33.0213830265	0.6259746956	-0.6758237561	0.2838019095	0.4780632165
ACPT	0.085611616	0.053237413	0.1179858191	2.2162199949	1.1481010988	0.5307708719	0.7152405389
ACRBP	24.7847506329	29.2818278643	20.2876734014	0.6928417685	-0.5294021883	0.4291926636	0.6267936926
ACRC	19.6581937708	13.7181582552	25.5982292864	1.8660106415	0.8999572136	0.2206107859	0.4040158386
ACRV1	0.8336158288	1.3608604562	0.3063712014	0.2251305048	-2.1511665424	0.0647533906	0.1689185088
ACR	5.1818808224	3.8764934327	6.4872682121	1.6734887663	0.7428588666	0.40503478	0.6043076894
ACSBG1	17.1685195596	18.7383439559	15.5986951634	0.8324479047	-0.264568105	0.8980645289	0.9622447695
ACSBG2	2.4457858242	1.1016164659	3.7899551824	3.440358146	1.7825587593	0.0704144244	0.1798008745
ACSF2	1049.0628209002	1079.7317780485	1018.393863752	0.9431915263	-0.0843773378	0.8017805937	0.9042919879
ACSF3	316.0770521958	297.6154531215	334.5386512702	1.1240634442	0.1687234662	0.552926669	0.7311417759
ACSL1	9629.8455024765	2816.2658607183	16443.4251442347	5.838733258	2.5456554032	1.05630440555395e-15	5.08821311808338e-14
ACSL3	4270.219588959	4680.9603484255	3859.4788294925	0.8245057728	-0.2783985001	0.2895911858	0.4841828555
ACSL4	1403.6664216625	917.9182975727	1889.4145457523	2.0583689755	1.0415016175	1.23682370751142e-05	0.0001308905
ACSL5	734.2830318234	541.6625504471	926.9035131996	1.7112194898	0.7750248191	0.0012282225	0.0070940188
ACSL6	21.9182225478	35.8035864419	8.0328586537	0.2243590504	-2.1561187132	0.0033288298	0.0162895058
ACSM1	443.0157633882	372.6841117044	513.347415072	1.3774330564	0.4619822052	0.708172035	0.8452107936
ACSM2A	2.1346745671	0.318606132	3.9507430021	12.4000846338	3.6322780623	0.0013281065	0.0075791593
ACSM2B	1.0469573214	0.156379184	1.9375354587	12.3899831728	3.631102323	0.004023959	0.0190364216
ACSM3	130.8020882035	57.4122012504	204.1919751567	3.5565954746	1.8304968923	0.000163328	0.001262983
ACSM4	0.0265904631	0.0273150496	0.0258658766	0.9469459899	-0.0786459526	1	1
ACSM5	212.0543419318	25.5535443085	398.5551395551	15.5968633839	3.9631840191	2.81192803018847e-25	3.87273778073211e-23
ACSS1	1005.478653368	1198.6260650761	812.3312416598	0.6777186525	-0.5612416164	0.0195304369	0.0673095987
ACSS2	1929.7369203834	931.4774429567	2927.9963978101	3.143389483	1.6523210409	7.18490466876079e-12	2.25546036287247e-10
ACSS3	581.4878438286	378.8224161578	784.1532714994	2.0699758991	1.0496139704	3.40747272933071e-05	0.0003203843
ACTA1	8563.502670672	73.9792205637	17053.0261207803	230.511027162	7.8486919576	0.0931905376	0.2200322763
ACTA2	15532.8624304992	8137.5102900688	22928.2145709297	2.8175957699	1.4944646484	5.26248522003575e-07	7.51672902349762e-06
ACTBL2	4.5852131636	3.1738155912	5.996610736	1.889401121	0.9179290193	0.2894921027	0.484104066
ACTB	86291.3994109484	99941.0854787389	72641.713343158	0.7268453509	-0.4602796568	0.2427425081	0.4316133494
ACTC1	45.5551429085	7.2357768865	83.8745089304	11.5916383612	3.535012586	0.2054473373	0.3851546756
ACTG1	61825.6327294769	74553.5309717855	49097.7344871683	0.658556796	-0.6026202265	0.104753	0.2389937496
ACTG2	2907.3345935706	772.9057844725	5041.7634026687	6.52312805	2.7055639491	1.08715354635393e-27	1.96865388018924e-25
ACTL6A	1113.3599665667	1479.5897355324	747.130197601	0.5049576782	-0.9857656178	2.56407696682371e-05	0.000249605
ACTL6B	2.8136539801	5.5434393831	0.0838685771	0.0151293396	-6.0465071731	0.0868841008	0.2093890769
ACTL7A	0.0041133815	0	0.008226763	Inf	Inf	1	1
ACTL7B	0.0169258672	0	0.0338517343	Inf	Inf	0.2784044284	0.4725935227
ACTL8	47.396365164	94.5329685961	0.259761732	0.0027478427	-8.5074848413	0.0006304808	0.004036109
ACTL9	0	0	0	NA	NA	NA	NA
ACTN1	7278.8230071532	6541.7789706298	8015.8670436766	1.2253344357	0.2931755639	0.2491806201	0.43906887
ACTN2	1796.6195179152	50.9572257458	3542.2818100846	69.5148089057	6.1192484462	0.1646719267	0.3306117309
ACTN3	187.5509012856	8.1418631803	366.9599393908	45.0707573025	5.4941197861	0.1861739472	0.3599964292
ACTN4	10441.5845287927	10780.6097086304	10102.559348955	0.9371046371	-0.0937179467	0.7490961254	0.8715612424
ACTR10	1133.6211771696	1118.2793243675	1148.9630299716	1.0274383197	0.039051787	0.8859522859	0.9546443557
ACTR1A	2671.6418651117	2797.7346081641	2545.5491220593	0.9098608262	-0.1362822097	0.5123892594	0.7005100836
ACTR1B	1219.4074700938	1102.6261792395	1336.1887609481	1.2118239038	0.2771800688	0.22990817	0.4156326567
ACTR2	6629.1256175985	8106.0454179237	5152.2058172733	0.6356004132	-0.6538080323	0.0103064277	0.040807273
ACTR3B	236.4090064503	276.5240898341	196.2939230665	0.7098619263	-0.4943896585	0.1416640352	0.2967352326
ACTR3C	37.107647433	40.5504644633	33.6648304027	0.8301959262	-0.2684762423	0.6971213656	0.8374448739
ACTR3	3958.4841812299	4941.7116435888	2975.2567188709	0.6020700788	-0.7319966735	0.0026258125	0.0134891032
ACTR5	215.7697447986	244.8105607225	186.7289288747	0.7627486671	-0.3907203412	0.2446471335	0.433974058
ACTR6	630.6918759918	674.5520020197	586.831749964	0.8699577619	-0.2009827378	0.4253499943	0.6241195539
ACTR8	500.4045726387	510.3354217382	490.4737235392	0.9610810903	-0.0572699327	0.8219227746	0.9177776628
ACTRT1	0.0136559653	0.0273119306	0	0	-Inf	0.3706003478	0.5715596869
ACTRT2	0	0	0	NA	NA	NA	NA
ACVR1B	1209.0017915365	1329.3311456881	1088.672437385	0.8189625594	-0.2881305973	0.2178482079	0.4007579157
ACVR1C	913.1667052346	75.0198854616	1751.3135250076	23.3446574096	4.5450205116	1.11877523448184e-23	1.27208646864892e-21
ACVR1	1150.2142341253	1078.8782523807	1221.5502158699	1.1322410227	0.1791811006	0.4469753279	0.6427764712
ACVR2A	471.2205329623	348.6401793243	593.8008866003	1.7031912035	0.7682404038	0.0024370457	0.0126864324
ACVR2B	402.2755117501	403.1649801622	401.3860433379	0.9955875711	-0.0063798751	0.9912317364	1
ACVRL1	747.4966746734	472.0470137632	1022.9463355837	2.1670433363	1.1157280046	5.83001226746347e-06	6.56878509932873e-05
ACY1	659.8518544064	681.9379718738	637.7657369389	0.9352254358	-0.0966139268	0.6638190359	0.8154716636
ACY3	118.990328024	220.7705758672	17.2100801808	0.0779545921	-3.6812221797	0.2650410188	0.4576151854
ACYP1	67.2133550614	75.1712287982	59.2554813247	0.7882734162	-0.3432319731	0.5074805126	0.696177042
ACYP2	168.8740924106	133.2890532412	204.45913158	1.5339529137	0.6172541985	0.1047238998	0.2389629804
ADAD1	0.0139728143	0.0279456286	0	0	-Inf	0.3656121443	0.5669423331
ADAD2	1.7591983725	0.7610487353	2.7573480096	3.6230899306	1.8572206161	0.0764420281	0.1906128705
ADAL	202.7442967431	191.6624139859	213.8261795002	1.1156396033	0.1578710536	0.6793215488	0.8256986657
ADAM10	1850.9784855427	1903.952823289	1798.0041477964	0.9443533084	-0.0826013826	0.7603912647	0.8789021087
ADAM11	11.0623943685	8.3502924951	13.774496242	1.6495824847	0.7221009193	0.34792511	0.5475914515
ADAM12	1878.3466069421	2846.6893323201	910.0038815641	0.3196709494	-1.6453404519	1.70056609408836e-12	5.68512326531385e-11
ADAM15	3889.3153838832	4957.0439960661	2821.5867717004	0.5692075305	-0.8129733463	0.000729656	0.0045619827
ADAM17	834.6824375266	883.8747745556	785.4901004976	0.8886893518	-0.1702488928	0.4945439501	0.6850684255
ADAM18	0.107973182	0.2159463641	0	0	-Inf	0.0147239895	0.0539043546
ADAM19	343.6706332247	533.4328307019	153.9084357476	0.2885244906	-1.7932343117	3.05594833339958e-10	7.48937112234282e-09
ADAM20	1.3973291565	0.9576887547	1.8369695583	1.91812794	0.939698952	0.3744869332	0.5753665608
