"gene"	"degree"	"hub_degree"	"mds"	"mcds"	"score"	"log2FoldChange"
"HMGB2"	1	0	1	1	2	0.97
"PBX1"	2	0	1	1	2	0.93
"TEAD4"	1	0	1	1	2	0.91
"KLF13"	2	0	1	1	2	0.88
"JUND"	5	0	1	1	2	0.87
"KRAS"	1	0	1	1	2	0.83
"RPA3"	1	0	1	1	2	0.82
"MYEF2"	1	0	1	1	2	0.8
"TFCP2L1"	1	0	1	1	2	0.76
"TFE3"	1	0	1	1	2	0.68
"VEGFA"	7	1	0	1	2	0.66
"TCF3"	3	0	1	1	2	0.65
"AR"	5	0	1	1	2	0.63
"ICAM1"	6	1	0	1	2	0.62
"MMP1"	5	1	0	0	1	6.92
"HBG1"	4	0	0	1	1	5.42
"INSM1"	2	0	1	0	1	4.93
"APOB"	4	0	0	1	1	4.73
"ADIPOQ"	3	0	0	1	1	4.71
"SLC2A4"	2	0	0	1	1	4.54
"PF4"	2	0	0	1	1	4.45
"ACACB"	1	0	1	0	1	3.71
"TYRP1"	2	0	0	1	1	3.65
"ZBTB16"	2	0	0	1	1	3.31
"ISG15"	4	0	0	1	1	2.95
"MUC1"	4	0	0	1	1	2.77
"CDC25A"	5	1	0	0	1	2.32
"ALDOC"	2	0	0	1	1	2.24
"ATF3"	6	1	0	0	1	2.21
"LEF1"	4	0	0	1	1	2.06
"PIGR"	4	0	0	1	1	2.05
"ABCB1"	3	0	0	1	1	1.94
"ERBB2"	6	1	0	0	1	1.89
"COL1A2"	5	1	0	0	1	1.88
"CYP11A1"	3	0	0	1	1	1.86
"BRCA2"	4	0	0	1	1	1.81
"EPAS1"	1	0	1	0	1	1.73
"FOXO1"	1	0	1	0	1	1.69
"APOC2"	2	0	0	1	1	1.5
"RFX2"	1	0	1	0	1	1.46
"ZNF219"	1	0	1	0	1	1.43
"AFP"	1	0	1	0	1	1.43
"EGFR"	8	1	0	0	1	1.4
"PPARA"	3	0	0	1	1	1.36
"HMGA1"	3	0	0	1	1	1.34
"PDGFA"	2	0	0	1	1	1.33
"BRCA1"	5	0	0	1	1	1.24
"KLF6"	1	0	1	0	1	1.24
"HDGF"	1	0	1	0	1	1.21
"PARP1"	1	0	1	0	1	1.2
"RARA"	3	0	1	0	1	1.13
"BCL6"	3	0	0	1	1	1.09
"HOXD9"	2	0	1	0	1	1.09
"CCND1"	15	1	0	0	1	1.01
"MYB"	6	1	0	0	1	0.99
"CCL5"	6	1	0	0	1	0.94
"SOX4"	1	0	1	0	1	0.89
"PGR"	5	0	0	1	1	0.87
"ZEB1"	1	0	1	0	1	0.72
"ZNF444"	1	0	1	0	1	0.65
"FUS"	2	0	1	0	1	0.64
"NR1D1"	3	0	1	0	1	0.62
